Selected,totalpop,pct_black,nodeid,avgdeg,num_i,num_r,num_s,t
0,1165,0.3467811159,1,6,0,0,1165,0
0,1861,0.6432025793,2,6,0,0,1861,0
0,2918,0.3660041124,3,6,0,0,2918,0
0,1588,0.2380352645,4,6,0,0,1588,0
0,1219,0.3240360952,5,6,0,0,1219,0
0,903,0.4318936877,6,6,0,0,903,0
0,1117,0.1548791406,7,6,0,0,1117,0
1,995,0.3698492462,8,6,1,0,994,0
0,714,0.5224089636,9,6,0,0,714,0
0,869,0.1150747986,10,6,0,0,869,0
0,849,0.1307420495,11,6,0,0,849,0
0,1206,0.2371475954,12,6,0,0,1206,0
0,1538,0.0754226268,13,6,0,0,1538,0
0,789,0.010139417,14,6,0,0,789,0
0,1189,0.0126156434,15,6,0,0,1189,0
0,1057,0.0416272469,16,6,0,0,1057,0
0,2054,0.0418695229,17,6,0,0,2054,0
0,924,0.2705627706,18,6,0,0,924,0
0,616,0.2435064935,19,6,0,0,616,0
0,1039,0.635226179,20,6,0,0,1039,0
0,1191,0.6490344249,21,6,0,0,1191,0
0,2989,0.4309133489,22,6,0,0,2989,0
0,2406,0.3911055694,23,6,0,0,2406,0
0,622,0.0723472669,24,6,0,0,622,0
0,909,0.2761276128,25,6,0,0,909,0
0,1475,0.4386440678,26,6,0,0,1475,0
0,1347,0.3815887157,27,6,0,0,1347,0
0,845,0.4615384615,28,6,0,0,845,0
0,1154,0.849220104,29,6,0,0,1154,0
0,1296,0.5586419753,30,6,0,0,1296,0
0,1175,0.6987234043,31,6,0,0,1175,0
0,1906,0.5036726128,32,6,0,0,1906,0
0,2654,0.3436322532,33,6,0,0,2654,0
0,898,0.8363028953,34,6,0,0,898,0
0,641,0.6411856474,35,6,0,0,641,0
0,1583,0.3392293114,36,6,0,0,1583,0
0,2321,0.6092201637,37,6,0,0,2321,0
0,1296,0.7677469136,38,6,0,0,1296,0
0,1408,0.8245738636,39,6,0,0,1408,0
0,3122,0.8081358104,40,6,0,0,3122,0
0,469,0.9125799574,41,6,0,0,469,0
0,3006,0.8882235529,42,6,0,0,3006,0
0,626,0.7332268371,43,6,0,0,626,0
0,1916,0.9133611691,44,6,0,0,1916,0
0,2911,0.2483682583,45,6,0,0,2911,0
0,2827,0.3484258932,46,6,0,0,2827,0
0,947,0.0359028511,47,6,0,0,947,0
0,2129,0.3536871771,48,6,0,0,2129,0
0,1642,0.3093788063,49,6,0,0,1642,0
0,1407,0.2260127932,50,6,0,0,1407,0
0,3190,0.3520376176,51,6,0,0,3190,0
0,1517,0.2069874753,52,6,0,0,1517,0
0,751,0.1278295606,53,6,0,0,751,0
0,2885,0.3077989601,54,6,0,0,2885,0
0,1210,0.2066115702,55,6,0,0,1210,0
0,1431,0.0461215933,56,6,0,0,1431,0
0,1882,0.0908607864,57,6,0,0,1882,0
0,2647,0.0793350963,58,6,0,0,2647,0
0,2070,0.3212560386,59,6,0,0,2070,0
0,1747,0.3886662851,60,6,0,0,1747,0
0,2084,0.2120921305,61,6,0,0,2084,0
0,1371,0.3041575492,62,6,0,0,1371,0
0,3313,0.3229701177,63,6,0,0,3313,0
0,1720,0.3063953488,64,6,0,0,1720,0
0,1159,0.0491803279,65,6,0,0,1159,0
0,1862,0.1820622986,66,6,0,0,1862,0
0,438,0,67,6,0,0,438,0
0,1994,0.0235707121,68,6,0,0,1994,0
0,1589,0.0717432347,69,6,0,0,1589,0
0,5260,0.738973384,70,6,0,0,5260,0
0,681,0.9985315712,71,6,0,0,681,0
0,1027,0.9308666018,72,6,0,0,1027,0
0,4769,0.6768714615,73,6,0,0,4769,0
0,3022,0.4599602912,74,6,0,0,3022,0
0,1326,0.4901960784,75,6,0,0,1326,0
0,1161,0.2850990525,76,6,0,0,1161,0
0,1821,0.6847885777,77,6,0,0,1821,0
0,1638,0.4645909646,78,6,0,0,1638,0
0,1693,0.5652687537,79,6,0,0,1693,0
0,750,0.3333333333,80,6,0,0,750,0
0,3758,0.6852048962,81,6,0,0,3758,0
0,1159,0.2605694564,82,6,0,0,1159,0
0,492,0.3861788618,83,6,0,0,492,0
0,2310,0.7082251082,84,6,0,0,2310,0
0,1855,0.7444743935,85,6,0,0,1855,0
0,2125,0.5896470588,86,6,0,0,2125,0
0,1162,0.099827883,87,6,0,0,1162,0
0,2159,0.1366373321,88,6,0,0,2159,0
0,3845,0.7170351105,89,6,0,0,3845,0
0,2882,0.5093684941,90,6,0,0,2882,0
0,3631,0.5805563206,91,6,0,0,3631,0
0,2640,0.6856060606,92,6,0,0,2640,0
0,2389,0.4407701967,93,6,0,0,2389,0
0,5565,0.3683737646,94,6,0,0,5565,0
0,2781,0.5530384754,95,6,0,0,2781,0
0,2667,0.3588301462,96,6,0,0,2667,0
0,659,0.0576631259,97,6,0,0,659,0
0,2443,0.1395824806,98,6,0,0,2443,0
0,1827,0.1817186645,99,6,0,0,1827,0
0,2529,0.3404507711,100,6,0,0,2529,0
0,725,0.435862069,101,6,0,0,725,0
0,921,0.0901194354,102,6,0,0,921,0
0,2180,0.1,103,6,0,0,2180,0
0,1601,0.8669581512,104,6,0,0,1601,0
0,1151,0.5942658558,105,6,0,0,1151,0
0,1807,0.8721638074,106,6,0,0,1807,0
0,1387,0.4412400865,107,6,0,0,1387,0
0,1018,0.2976424361,108,6,0,0,1018,0
0,2145,0.1571095571,109,6,0,0,2145,0
0,2595,0.2986512524,110,6,0,0,2595,0
0,2153,0.3037621923,111,6,0,0,2153,0
0,757,0.0911492734,112,6,0,0,757,0
0,2982,0.3427230047,113,6,0,0,2982,0
0,2749,0.3743179338,114,6,0,0,2749,0
0,2352,0.0293367347,115,6,0,0,2352,0
0,1466,0.1527967258,116,6,0,0,1466,0
0,3797,0.1185146168,117,6,0,0,3797,0
0,2422,0.0280759703,118,6,0,0,2422,0
0,3610,0.3900277008,119,6,0,0,3610,0
1,2642,0.1014383043,120,6,1,0,2641,0
0,1372,0.1370262391,121,6,0,0,1372,0
0,1784,0.0975336323,122,6,0,0,1784,0
0,1688,0.1072274882,123,6,0,0,1688,0
0,2102,0.1284490961,124,6,0,0,2102,0
0,4869,0.2511809406,125,6,0,0,4869,0
0,2807,0.2643391521,126,6,0,0,2807,0
0,1711,0.4102863822,127,6,0,0,1711,0
1,2427,0.5323444582,128,6,1,0,2426,0
0,2261,0.2299867315,129,6,0,0,2261,0
0,1446,0.2724757953,130,6,0,0,1446,0
0,1862,0.1573576799,131,6,0,0,1862,0
0,4070,0.2594594595,132,6,0,0,4070,0
0,928,0.1443965517,133,6,0,0,928,0
0,1190,0.1336134454,134,6,0,0,1190,0
0,2681,0.49384558,135,6,0,0,2681,0
0,2553,0.4363493929,136,6,0,0,2553,0
0,1664,0.4597355769,137,6,0,0,1664,0
0,2538,0.6989755713,138,6,0,0,2538,0
1,3896,0.7677104723,139,6,1,0,3895,0
0,1481,0.3436866982,140,6,0,0,1481,0
0,5679,0.4546575101,141,6,0,0,5679,0
0,1939,0.6137184116,142,6,0,0,1939,0
0,2778,0.2987760979,143,6,0,0,2778,0
0,1676,0.526849642,144,6,0,0,1676,0
0,3150,0.2853968254,145,6,0,0,3150,0
0,2152,0.1589219331,146,6,0,0,2152,0
0,5549,0.4110650568,147,6,0,0,5549,0
0,1583,0.0574857865,148,6,0,0,1583,0
0,1835,0.2839237057,149,6,0,0,1835,0
0,1058,0.7769376181,150,6,0,0,1058,0
0,426,0.6525821596,151,6,0,0,426,0
